bins_lat,"(6.061, 6.219]","(6.219, 6.367]","(6.367, 6.516]","(6.516, 6.665]","(6.665, 6.813]","(6.813, 6.962]","(6.962, 7.11]","(7.11, 7.259]","(7.259, 7.408]","(7.408, 7.556]","(7.556, 7.705]","(7.705, 7.853]","(7.853, 8.002]","(8.002, 8.151]","(8.151, 8.299]","(8.299, 8.448]","(8.448, 8.596]","(8.596, 8.745]","(8.745, 8.894]","(8.894, 9.042]","(9.042, 9.191]","(9.191, 9.339]","(9.339, 9.488]","(9.488, 9.637]","(9.637, 9.785]","(9.785, 9.934]","(9.934, 10.082]","(10.082, 10.231]","(10.231, 10.38]","(10.38, 10.528]","(10.528, 10.677]","(10.677, 10.825]","(10.825, 10.974]","(10.974, 11.123]","(11.123, 11.271]","(11.271, 11.42]","(11.42, 11.568]","(11.568, 11.717]","(11.717, 11.866]","(11.866, 12.014]","(12.014, 12.163]","(12.163, 12.311]","(12.311, 12.46]","(12.46, 12.609]","(12.609, 12.757]","(12.757, 12.906]","(12.906, 13.054]","(13.054, 13.203]","(13.203, 13.352]","(13.352, 13.5]","(13.5, 13.649]","(13.649, 13.797]","(13.797, 13.946]","(13.946, 14.095]","(14.095, 14.243]","(14.243, 14.392]","(14.392, 14.54]","(14.54, 14.689]","(14.689, 14.838]","(14.838, 14.986]"
"(50.577, 50.66]",0.0,3200.0,3300.0,2520.0,0.0,0.0,0.0,0.0,0.0,2060.0,1804.0,0.0,7070.0,3200.0,1260.0,0.0,0.0,5410.0,8900.0,2640.0,0.0,1225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3468.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,1254.0,5665.0,0.0,0.0,2720.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(50.66, 50.743]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6900.0,3616.704,0.0,5005.44,1320.0,3621.0,0.0,0.0,0.0,0.0,10000.0,0.0,1770.0,0.0,0.0,0.0,0.0,1100.0,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,1526.0,0.0,0.0,10800.0,2199.0,4200.0,0.0,2515.5,0.0,10500.0,9880.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(50.743, 50.825]",7720.0,2590.5,15600.0,0.0,0.0,3500.0,0.0,1000.0,0.0,6200.0,0.0,0.0,0.0,0.0,0.0,0.0,6400.0,0.0,2058.0,3550.0,0.0,0.0,0.0,1331.33,0.0,0.0,8184.0,0.0,4620.0,0.0,0.0,0.0,3990.0,0.0,0.0,1001.65,0.0,0.0,3540.0,0.0,1573.2,1182.0,0.0,0.0,0.0,2661.12,3686.4,2326.5,0.0,0.0,0.0,4686.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(50.825, 50.908]",8294.0,0.0,9046.0,0.0,0.0,0.0,0.0,4051.0,0.0,4290.0,0.0,0.0,0.0,0.0,0.0,1097.0,1615.0,0.0,2970.2,0.0,0.0,0.0,0.0,0.0,0.0,2535.0,2220.0,3900.0,3707.0,2100.0,2370.0,3341.7,0.0,0.0,5750.0,2500.0,2211.27,0.0,0.0,4320.0,0.0,0.0,1104.0,1056.4,0.0,5025.0,8743.0,0.0,0.0,0.0,0.0,0.0,0.0,1045.65,0.0,0.0,0.0,0.0,0.0,0.0
"(50.908, 50.991]",0.0,0.0,0.0,1560.0,0.0,14975.0,0.0,2049.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1740.0,0.0,0.0,0.0,0.0,0.0,1345.0,2640.0,0.0,0.0,0.0,3630.0,0.0,2376.0,12340.0,5400.0,2000.0,1890.0,0.0,2025.0,13999.0,0.0,16976.65,7470.24,20170.0,4000.0,0.0,2204.0,7553.52,0.0,7955.0,0.0,10342.0,0.0,0.0,4790.4,0.0,0.0,0.0,0.0,0.0,1760.0,4988.0
"(50.991, 51.073]",0.0,0.0,0.0,12000.0,0.0,2249.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3260.0,0.0,0.0,0.0,0.0,6240.0,3393.2,0.0,0.0,3240.0,0.0,0.0,1320.0,4080.0,2248.0,13211.08,1964.16,3332.38,10476.16,3495.54,0.0,0.0,1664.78,1608.0,1451.0,0.0,11533.236,11220.0,0.0,0.0,0.0,9800.0,0.0,0.0,1548.0,2227.0,0.0,1495.0,0.0,0.0,1134.0,0.0,0.0
"(51.073, 51.156]",0.0,0.0,1243.0,0.0,0.0,4650.0,7605.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1187.76,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2400.0,0.0,0.0,115861.73,8169.360000000001,9862.8,5167.2,1500.0,3910.0,18468.82,9128.4,14560.0,8820.0,5222.3,4406.0,16189.810000000001,8512.44,20159.0,0.0,8230.0,19511.08,0.0,0.0,0.0,3180.0,0.0,0.0,0.0,1250.0,0.0,0.0,0.0,2200.0,1766.0
"(51.156, 51.239]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,4180.0,0.0,0.0,0.0,0.0,0.0,1800.0,0.0,0.0,4499.712,0.0,0.0,0.0,0.0,0.0,5300.0,0.0,0.0,0.0,0.0,2556.0,5251.33,3885.18,2404.8,7400.0,2160.0,1474.29,1590.0,0.0,0.0,0.0,3128.0,0.0,1911.0,0.0,0.0,9600.0,2500.0,0.0,0.0,0.0,9838.4,3960.0,9247.6,0.0,3716.0,0.0,0.0,0.0,1048.516,0.0,0.0,4876.0
"(51.239, 51.321]",1500.0,0.0,0.0,0.0,2000.0,1122.88,0.0,2832.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2130.0,2858.0,0.0,0.0,0.0,0.0,0.0,3630.0,2200.0,0.0,3450.0,0.0,4257.0,7120.59,2414.68,2550.0,2400.0,6820.0,1199.42,15105.0,1520.0,1113.75,20869.4,0.0,9380.0,0.0,7304.0,4638.6849999999995,1199.9,2650.0,0.0,0.0,0.0,7850.0,0.0,0.0,0.0,2153.76,0.0
"(51.321, 51.404]",0.0,1980.0,0.0,0.0,1200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3613.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6491.6,0.0,1250.0,0.0,0.0,0.0,17326.0,8297.0,0.0,1500.0,5927.0,2208.0,8370.0,0.0,0.0,0.0,4010.4,0.0,7450.0,3160.0,20587.6,7005.0,0.0,1336.9,0.0,5609.73,4320.0,0.0,2000.0,0.0,14451.599999999999,0.0,0.0,0.0,0.0,1890.0,6600.0
"(51.404, 51.487]",0.0,0.0,3750.0,5695.0,4546.0,0.0,0.0,0.0,11487.26,0.0,0.0,0.0,0.0,2680.0,0.0,0.0,0.0,1200.0,0.0,0.0,8492.970000000001,0.0,3360.0,0.0,2250.0,0.0,0.0,0.0,6550.0,0.0,4852.32,0.0,8058.0,0.0,3005.0,0.0,0.0,1068.0,0.0,6502.7,3780.0,7560.0,10510.0,0.0,0.0,0.0,0.0,3180.0,0.0,10080.0,0.0,7554.0,0.0,2915.0,8000.0,3864.0,0.0,0.0,0.0,20492.7
"(51.487, 51.569]",0.0,0.0,0.0,0.0,0.0,0.0,1428.0,0.0,0.0,3050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1153.22,0.0,0.0,0.0,0.0,6210.96,0.0,0.0,0.0,3900.0,0.0,0.0,31276.4,0.0,13552.0,21876.9,3960.0,4051.2,0.0,0.0,6540.0,0.0,0.0,2940.0,4200.0,1870.0,1628.4,0.0,18395.76,36828.0,0.0,17820.0,0.0,3420.0,0.0,0.0
"(51.569, 51.652]",0.0,0.0,0.0,0.0,1560.0,4680.0,0.0,0.0,0.0,1360.0,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1740.0,3150.0,8894.155,2574.0,0.0,0.0,2000.0,1617.0,5040.0,0.0,0.0,5402.7,7920.0,13710.0,5062.0,0.0,0.0,11704.0,20069.716,9768.0,15240.0,0.0,0.0,14424.2,8440.0,8100.6,1760.0,0.0,0.0,0.0,0.0,15370.26,0.0,0.0,5000.0,0.0,0.0
